Time,A1.08 | 20,A1.06 | 22,A1.04 | 41,B0.201 | 48,A1.10 | 56,C1.112 | 60,C0.110 | 117
Thurday 09:00-11:00,Zoeken sturen en bewegen | lab | 14 | 14 | 16 | A1.08 | 20,Software engineering | lab | 38 | 37 | 16 | A1.06 | 22,Architectuur en computerorganisatie | lecture | 21 | 21 | 16 | A1.04 | 41,Compilerbouw | tutorial | 35 | 35 | 16 | B0.201 | 48,Compilerbouw | lab | 35 | 35 | 16 | A1.10 | 56,0,Webprogrammeren en databases | tutorial | 20 | 19 | 16 | C0.110 | 117
11:00-13:00,Collectieve Intelligentie | lab | 16 | 16 | 17 | A1.08 | 20,Moderne Databases | tutorial | 18 | 18 | 17 | A1.06 | 22,Autonomous Agents 2 | lab | 8 | 8 | 17 | A1.04 | 41,Compilerbouw | lecture | 69 | 69 | 17 | B0.201 | 48,Project Numerical Recipes | lab | 15 | 15 | 17 | A1.10 | 56,Architectuur en computerorganisatie | lecture | 21 | 21 | 17 | C1.112 | 60,Heuristieken 1 | tutorial | 22 | 22 | 17 | C0.110 | 117
13:00-15:00,Project Genetic Algorithms | lab | 12 | 12 | 18 | A1.08 | 20,Zoeken sturen en bewegen | lab | 14 | 14 | 18 | A1.06 | 22,Compilerbouw | lecture | 69 | 69 | 18 | A1.04 | 41,0,0,Webprogrammeren en databases | lab | 20 | 19 | 18 | C1.112 | 60,Calculus 2 | lecture | 106 | 106 | 18 | C0.110 | 117
15:00-17:00,Collectieve Intelligentie | lecture | 61 | 61 | 19 | A1.08 | 20,Technology for games | tutorial | 19 | 19 | 19 | A1.06 | 22,Bioinformatica | lab | 15 | 15 | 19 | A1.04 | 41,Heuristieken 1 | lecture | 44 | 44 | 19 | B0.201 | 48,Calculus 2 | tutorial | 36 | 34 | 19 | A1.10 | 56,0,Software engineering | lab | 38 | 38 | 19 | C0.110 | 117
17:00-19:00,-,-,-,-,-,-,1
Friday 09:00-11:00,Programmeren in Java 2 | lab | 19 | 19 | 21 | A1.08 | 20,Reflectie op de digitale cultuur | lecture | 51 | 51 | 21 | A1.06 | 22,Collectieve Intelligentie | tutorial | 16 | 13 | 21 | A1.04 | 41,Collectieve Intelligentie | tutorial | 16 | 16 | 21 | B0.201 | 48,0,Heuristieken 2 | lecture | 32 | 32 | 21 | C1.112 | 60,Kansrekenen 2 | lecture | 84 | 84 | 21 | C0.110 | 117
11:00-13:00,0,0,Advanced Heuristics | lab | 10 | 10 | 22 | A1.04 | 41,Data Mining | tutorial | 9 | 9 | 22 | B0.201 | 48,Software engineering | tutorial | 38 | 37 | 22 | A1.10 | 56,Algoritmen en complexiteit | lecture | 43 | 43 | 22 | C1.112 | 60,Databases 2 | tutorial | 36 | 36 | 22 | C0.110 | 117
13:00-15:00,Databases 2 | tutorial | 36 | 36 | 23 | A1.08 | 20,Programmeren in Java 2 | lab | 19 | 19 | 23 | A1.06 | 22,Calculus 2 | tutorial | 36 | 36 | 23 | A1.04 | 41,Algoritmen en complexiteit | tutorial | 22 | 21 | 23 | B0.201 | 48,Algoritmen en complexiteit | lab | 22 | 22 | 23 | A1.10 | 56,Bioinformatica | lab | 15 | 15 | 23 | C1.112 | 60,Compilerbouw practicum | lab | 14 | 14 | 23 | C0.110 | 117
15:00-17:00,Data Mining | tutorial | 9 | 9 | 24 | A1.08 | 20,Data Mining | lab | 9 | 9 | 24 | A1.06 | 22,Data Mining | lab | 9 | 9 | 24 | A1.04 | 41,Bioinformatica | lecture | 45 | 45 | 24 | B0.201 | 48,Interactie-ontwerp | lecture | 25 | 25 | 24 | A1.10 | 56,Technology for games | tutorial | 19 | 19 | 24 | C1.112 | 60,Heuristieken 2 | tutorial | 16 | 16 | 24 | C0.110 | 117
17:00-19:00,-,-,-,-,-,-,Databases 2 | lecture | 72 | 72 | 25 | C0.110 | 117
