Time,A1.08 | 20,A1.06 | 22,A1.04 | 41,B0.201 | 48,A1.10 | 56,C1.112 | 60,C0.110 | 117
15:00-17:00,Informatie- en organisatieontwerp(1) | tutorial | 11 | 11 | 14 | A1.08 | 20,Informatie- en organisatieontwerp(2) | tutorial | 11 | 10 | 14 | A1.06 | 22,Interactie-ontwerp(2) | lecture | 25 | 25 | 14 | A1.04 | 41,Machine Learning(2) | lecture | 22 | 22 | 14 | B0.201 | 48,Lineaire Algebra(2) | lecture | 54 | 54 | 14 | A1.10 | 56,Moderne Databases(1) | tutorial | 18 | 18 | 14 | C1.112 | 60,Kansrekenen 2(2) | lecture | 84 | 84 | 14 | C0.110 | 117
17:00-19:00,-,-,-,-,-,-,1
Thurday 09:00-11:00,Informatie- en organisatieontwerp(1) | lab | 11 | 11 | 16 | A1.08 | 20,Informatie- en organisatieontwerp(2) | lab | 11 | 10 | 16 | A1.06 | 22,Moderne Databases(2) | tutorial | 18 | 18 | 16 | A1.04 | 41,Moderne Databases(3) | tutorial | 18 | 18 | 16 | B0.201 | 48,Netwerken en systeembeveiliging(2) | lab | 16 | 16 | 16 | A1.10 | 56,Netwerken en systeembeveiliging(3) | lab | 16 | 16 | 16 | C1.112 | 60,Netwerken en systeembeveiliging(4) | lab | 16 | 16 | 16 | C0.110 | 117
11:00-13:00,Moderne Databases(1) | lab | 18 | 18 | 17 | A1.08 | 20,Moderne Databases(2) | lab | 18 | 18 | 17 | A1.06 | 22,Moderne Databases(3) | lab | 18 | 18 | 17 | A1.04 | 41,Programmeren in Java 2(1) | lab | 19 | 19 | 17 | B0.201 | 48,Programmeren in Java 2(2) | lab | 19 | 19 | 17 | A1.10 | 56,Programmeren in Java 2(3) | lab | 19 | 19 | 17 | C1.112 | 60,Programmeren in Java 2(4) | lab | 19 | 19 | 17 | C0.110 | 117
13:00-15:00,Programmeren in Java 2(5) | lab | 19 | 19 | 18 | A1.08 | 20,Programmeren in Java 2(6) | lab | 19 | 15 | 18 | A1.06 | 22,Project Genetic Algorithms(1) | lab | 12 | 12 | 18 | A1.04 | 41,Project Genetic Algorithms(2) | lab | 12 | 12 | 18 | B0.201 | 48,Project Genetic Algorithms(3) | lab | 12 | 12 | 18 | A1.10 | 56,Project Numerical Recipes(1) | lab | 15 | 15 | 18 | C1.112 | 60,Project Numerical Recipes(2) | lab | 15 | 15 | 18 | C0.110 | 117
15:00-17:00,Project Numerical Recipes(3) | lab | 15 | 14 | 19 | A1.08 | 20,Zoeken sturen en bewegen(1) | lab | 14 | 14 | 19 | A1.06 | 22,Technology for games(1) | lecture | 38 | 38 | 19 | A1.04 | 41,Webprogrammeren en databases(1) | lecture | 39 | 39 | 19 | B0.201 | 48,Reflectie op de digitale cultuur(1) | lecture | 51 | 51 | 19 | A1.10 | 56,Zoeken sturen en bewegen(2) | lab | 14 | 14 | 19 | C1.112 | 60,Software engineering(1) | lecture | 75 | 75 | 19 | C0.110 | 117
17:00-19:00,-,-,-,-,-,-,1
Friday 09:00-11:00,Zoeken sturen en bewegen(3) | lab | 14 | 14 | 21 | A1.08 | 20,0,Software engineering(1) | tutorial | 38 | 38 | 21 | A1.04 | 41,Software engineering(2) | tutorial | 38 | 37 | 21 | B0.201 | 48,Reflectie op de digitale cultuur(2) | lecture | 51 | 51 | 21 | A1.10 | 56,Technology for games(2) | lecture | 38 | 38 | 21 | C1.112 | 60,Webprogrammeren en databases(2) | lecture | 39 | 39 | 21 | C0.110 | 117
11:00-13:00,Reflectie op de digitale cultuur(1) | tutorial | 17 | 17 | 22 | A1.08 | 20,Reflectie op de digitale cultuur(2) | tutorial | 17 | 17 | 22 | A1.06 | 22,Reflectie op de digitale cultuur(3) | tutorial | 17 | 17 | 22 | A1.04 | 41,Software engineering(1) | lab | 38 | 38 | 22 | B0.201 | 48,Software engineering(2) | lab | 38 | 37 | 22 | A1.10 | 56,Technology for games(1) | tutorial | 19 | 19 | 22 | C1.112 | 60,Technology for games(2) | tutorial | 19 | 19 | 22 | C0.110 | 117
13:00-15:00,Webprogrammeren en databases(1) | tutorial | 20 | 20 | 23 | A1.08 | 20,Webprogrammeren en databases(2) | tutorial | 20 | 19 | 23 | A1.06 | 22,0,0,0,0,0
15:00-17:00,Webprogrammeren en databases(1) | lab | 20 | 20 | 24 | A1.08 | 20,Webprogrammeren en databases(2) | lab | 20 | 19 | 24 | A1.06 | 22,0,0,0,0,0
17:00-19:00,-,-,-,-,-,-,1
